regex to match day + hour + height 
^ \| ([0-9]*) ([0-9]*) \| ([0-9]*\.[0-9]*)

Location : 46232      (32.53N 117.42W)
  Model    : spectral resolution for points
  Cycle    : 20200515 18 UTC
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | day & |  Hst  n x |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |
 |  hour |  (m)  - - |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | 20  2 | 1.90  3   |   1.56  6.8 106 |                 |   0.79 11.6 107 |                 |   0.72 15.2  23 |                 |
 | 20  3 | 1.86  3   |   1.53  6.8 106 |                 |   0.78 11.6 107 |                 |   0.72 15.2  23 |                 |
 | 20  4 | 1.83  3   |   1.50  6.8 105 |                 |   0.76 11.5 107 |                 |   0.71 15.2  23 |                 |
 | 20  5 | 1.81  3   |   1.48  6.9 105 |                 |   0.75 11.5 107 |                 |   0.71 15.2  23 |                 |
 | 20  6 | 1.80  3   |   1.47  7.0 104 |                 |   0.74 11.4 107 |                 |   0.70 15.2  23 |                 |
 | 20  7 | 1.78  3   |   1.45  7.1 104 |                 |   0.72 11.3 107 |                 |   0.70 15.1  23 |                 |
 | 20  8 | 1.75  3   |   1.43  7.2 104 |                 |   0.71 11.2 107 |                 |   0.69 15.1  23 |                 |
 | 20  9 | 1.73  3   |   1.41  7.4 103 |                 |   0.70 11.2 107 |                 |   0.68 15.1  23 |                 |
 | 20 10 | 1.71  3   |   1.40  7.5 103 |                 |   0.70 11.1 107 |                 |   0.68 15.0  22 |                 |
 | 20 11 | 1.69  3   |   1.39  7.6 103 |                 |   0.67 11.0 106 |                 |   0.66 14.9  23 |                 |
 | 20 12 | 1.68  3   |   1.43  7.7 102 |                 |   0.55 11.3 107 |                 |   0.65 14.8  22 |                 |
 | 20 13 | 1.66  3   |   1.41  7.8 101 |                 |   0.54 11.2 106 |                 |   0.65 14.7  23 |                 |
 | 20 14 | 1.63  3   |   1.38  7.9 101 |                 |   0.53 11.2 106 |                 |   0.64 14.6  22 |                 |
 | 20 15 | 1.60  3   |   1.35  8.0 101 |                 |   0.51 11.2 106 |                 |   0.65 14.5  22 |                 |
 | 20 16 | 1.56  3   |   1.32  8.1 100 |                 |   0.49 11.2 106 |                 |   0.65 14.5  22 |                 |
 | 20 17 | 1.53  4   |   1.29  8.2  99 |   0.19 17.9  13 |   0.47 11.2 107 |                 |   0.62 14.5  22 |                 |
